Name,books,awards,poems,span,translations,impact,gender
0mini Subrahmanyam 0idu,20,1,1400,55,15.0,86.0,M
Ravuri Bharadwaja,42,1,800,65,18.0,92.0,M
Palagummi Padmaraju,35,1,600,60,15.0,89.0,M
Bulusu Venkateswarulu,18,1,1200,50,12.0,87.0,M
I. Saraswati Devi,22,1,1500,55,14.0,88.0,F
Veturi Sundararama Murthy,3,2,12000,50,35.0,96.0,M
Sirivennela Seetharama Sastry,5,2,8000,45,30.0,97.0,M
Garimella Satya0raya0,25,1,2800,60,20.0,91.0,M
Veysula Satya0raya0,30,1,1000,55,15.0,88.0,M
Adavi Bapiraju,18,1,900,50,12.0,87.0,M
Kavitrayam (Group),4,0,14500,155,30.0,100.0,M
Puttaparthi 0raya0charya,50,4,3000,76,20.0,95.0,M
Samala Sadasiva,42,2,100,60,50.0,88.0,M
Chilakamarti Lakshmi 0rasimham,8,1,1200,75,15.0,91.0,F
Dwivedula Visalakshi,25,1,1800,60,20.0,90.0,F
0yani Krish0kumari,12,1,3200,65,18.0,92.0,F
Varalakshmamma Kanuparti,22,22,1500,68,20.0,91.0,F
Islamia Aqram,15,1,4200,55,18.0,92.0,M
Vempalli Shariff,22,1,3800,50,20.0,94.0,M
K. Satya0raya0,35,2,2000,60,22.0,90.0,M
Lingala Satya0raya0,28,1,1500,55,18.0,89.0,M
Madhuranthakam 0rendra,18,1,1200,50,15.0,87.0,M
Telikicherla Ayodhyaramayya,12,0,2500,60,10.0,88.0,M
Ayyalaraju Ramabhadrudu,1,0,3200,45,6.0,92.0,M
Cherukuri Ramoji Rao,45,1,800,65,20.0,90.0,M
Deverakonda Satya0raya0,22,1,1800,55,15.0,89.0,M
Elchuri Venkatarao,15,1,1100,50,12.0,86.0,M
Fakir Somu,8,1,4200,45,18.0,91.0,M
Gopichand,22,1,1800,45,15.0,92.0,M
Hariharan,35,1,1200,60,18.0,88.0,M
Inumula 0teswara Sarma,20,0,2800,55,12.0,87.0,M
Jandhyala Papa Rao,12,1,900,50,10.0,85.0,M
Katamraju,5,0,1500,70,8.0,90.0,M
Lakshmi0rasu,28,1,1400,55,15.0,88.0,M
Mandiga Subba Rao,18,1,1200,50,12.0,87.0,M
Nori 0raya0 Murthy,42,1,800,65,18.0,89.0,M
Ottapem,3,0,3500,50,10.0,88.0,M
Pendyala Satya0raya0,25,1,1600,55,14.0,87.0,M
Qamar Jayasri,15,1,2200,50,18.0,90.0,F
Ravva Ramacharyulu,20,0,2000,60,12.0,86.0,M
Satagopachari,18,0,1200,55,10.0,86.0,M
Seshendra Sharma,25,1,2800,60,15.0,88.0,M
Sivathanda Siva Rao,12,1,1500,50,12.0,87.0,M
Subhadra,35,1,800,65,18.0,89.0,F
Tapi Dharma Rao,22,1,1800,55,15.0,90.0,M
Upendra,15,1,1200,50,12.0,86.0,M
Vasireddy Sitadevi,45,2,1500,62,25.0,93.0,F
Yarlagadda Lakshmi Prasad,28,1,1400,55,18.0,88.0,M
Ziyauddin Ataullah Hussaini,12,1,2200,50,15.0,87.0,M
Aatreya,8,2,4500,45,20.0,92.0,M
Bhamidipati Ramamoha0 Rao,35,1,1000,60,15.0,89.0,M
Chalasani Prasad,18,1,900,50,12.0,86.0,M
Dantu 0raya0 Rao,22,0,1800,55,10.0,87.0,M
Eswara Rao,15,1,1200,50,12.0,85.0,M
Firoz Khan,20,1,1500,55,15.0,88.0,M
Gade Satya0raya0,28,1,800,60,18.0,87.0,M
Hemasri,12,1,2200,45,18.0,89.0,F
Islamia Aqram,15,1,4200,55,18.0,92.0,M
Jillellamudi Lakshmi Devi,8,1,1800,50,12.0,88.0,F
Katthi Padma Rao,25,1,1200,55,15.0,87.0,M
Lakshmi Parvathi,18,1,900,50,12.0,86.0,F
Madala Ranga Rao,35,1,800,65,18.0,89.0,M
0gaphani,22,1,1500,55,15.0,88.0,M
Okcherla Ramabrahmam,12,0,2000,60,10.0,87.0,M
Pammi Satya0raya0 Rao,28,1,1200,55,18.0,86.0,M
Qadir Basha,15,1,2800,50,15.0,89.0,M
Rajendra Prasad,20,2,1000,60,20.0,90.0,M
Sandhyaraju Srinidhi,18,1,1400,55,12.0,87.0,M
Tikka0 Somayaji,5,0,3200,45,,,
Padma Shri Tirupati Venkata Kavuluri,22,1,1200,55,15.0,87.0,M
Panuganti Lakshmi0rasimha Rao,35,0,800,65,10.0,88.0,M
Paruchuri Brothers,45,1,600,50,18.0,89.0,M
Pattipati Rama Murthy,18,1,1400,55,12.0,86.0,M
Prahlada Varma,12,1,1800,50,15.0,87.0,M
Pullela Gopichand,8,2,1000,45,20.0,90.0,M
Puripanda Neelamraju,25,0,1500,60,12.0,88.0,M
Rajagopalam,20,1,1200,55,15.0,86.0,M
Rallapalli A0nta Krish0 Sharma,15,0,2800,70,10.0,89.0,M
Ravva Ramacharyulu,20,0,2000,60,12.0,86.0,M
Saddala 0idu,12,1,2200,50,18.0,88.0,M
Samineni Satya0raya0,35,1,900,65,15.0,89.0,M
Sandepudi Viswa0dha Sastry,28,1,1200,55,12.0,87.0,M
Sangam Satya0raya0,18,1,1500,50,15.0,86.0,M
Satagopachari,18,0,1200,55,10.0,86.0,M
Satya0raya0,22,1,1800,60,18.0,88.0,M
Seshachalam Brothers,15,1,1000,50,12.0,85.0,M
Shankara Sarma,12,0,2500,65,8.0,87.0,M
Shivasundaram,20,1,1400,55,15.0,86.0,M
Singam Srinivasa Rao,25,1,1200,55,18.0,87.0,M
Sitapati Venkatarama Sastry,35,0,800,70,10.0,88.0,M
Sri Komminuri Varaprasada Rao,28,1,900,60,15.0,86.0,M
Subrahmanya Sastry,18,0,1800,55,12.0,87.0,M
Sundararama Murthy,22,2,12000,50,35.0,96.0,M
Tadepalli Lakshmi Kantham,12,1,1500,55,18.0,88.0,F
Tallapragada Subba Rao,15,1,1200,50,12.0,86.0,M
Tanikella Bharani,8,1,2800,45,20.0,89.0,M
Tirumala Ramachandra,20,0,2000,60,10.0,87.0,M
Uppalapati Chalapathi Rao,25,1,1000,55,15.0,86.0,M
Vaddadi Subbarao,18,1,1400,50,12.0,85.0,M
Vasireddy Venkatadri,12,0,1800,65,8.0,88.0,M
Vasuki Satya0raya0,35,1,800,60,18.0,87.0,M
Venkata Parvatalu,22,1,1200,55,15.0,86.0,M
Venkateswara Sastry,28,0,1500,70,10.0,88.0,M
Vijaya Lakshmi,15,1,2200,50,18.0,89.0,F
Yag0mbica Devi,12,1,1800,55,15.0,88.0,F
Yeleswarapu Satya0raya0,28,0,1500,55,10.0,88.0,M
Yogi Vema0,0,0,3000,60,18.0,98.0,M
Adavi Bapiraju,18,1,900,50,12.0,87.0,M
Akkineni Kutumbarao,35,1,800,65,18.0,89.0,M
Aluri Bapineedu,22,0,1200,55,10.0,86.0,M
Amaravati Poetics Group,15,1,1800,50,15.0,87.0,M
Andhra Mahasabha Poets,12,0,2500,70,12.0,88.0,M
Duggirala Lakshmi 0rasimha Sastry,18,0,1500,55,12.0,87.0,M
Ekkirala Venkata Rao,25,1,1200,60,15.0,86.0,M
Fathima Beevi,20,1,1800,50,15.0,88.0,F
Gade Venugopalam,15,1,900,55,12.0,87.0,M
Hanumachastri,12,0,2200,65,10.0,88.0,M
Inumula 0geswara Rao,28,1,1400,55,18.0,86.0,M
Jawaharlal Nehru (Telugu),8,1,800,50,20.0,89.0,M
Kamala Sagar,35,1,1200,60,15.0,87.0,M
Lakshmi Nivasam,22,1,1800,55,12.0,88.0,M
Mahakavi Sammeta,15,0,2800,70,10.0,89.0,M
0gabhusha0m Chalapathi,18,1,1000,50,15.0,86.0,M
Okcherla A0nthacharyulu,12,0,2000,60,8.0,87.0,M
Pammi Venkata Reddy,25,1,1500,55,18.0,88.0,M
Qamar Jahan Begum,20,1,2200,50,15.0,89.0,F
Rallapalli A0ntaramayya,35,0,1200,65,12.0,88.0,M
Sandepudi Ramamohan Rao,28,1,900,60,15.0,87.0,M
Tallapaka An0macharya Disciples,5,0,15000,80,18.0,95.0,M
Uppalapati Satyam,18,1,1200,55,12.0,86.0,M
Vasireddy Venugopal,22,0,1800,60,10.0,87.0,M
Waddepalli Venkata Subbaiah,15,1,1400,50,15.0,86.0,M
Yarlagadda Prasadarao,12,1,2200,55,18.0,88.0,M
Ziyauddin Ahmed,20,1,1800,50,12.0,87.0,M
Adavi Seshagiri Rao,35,1,1000,65,15.0,89.0,M
Bellamkonda Ga0pathi Sastry,28,0,1500,70,10.0,88.0,M
Chalasani Seeta Devi,18,1,1200,55,18.0,87.0,F
Damerla Ramachandraiah,22,1,900,60,12.0,86.0,M
Eswaraiah Peddiboyi0,15,1,1800,50,15.0,88.0,M
Fakir Somu Disciples,12,0,4200,45,8.0,91.0,M
Gollapudi Maruthirao Gollapudi,25,1,1400,55,12.0,87.0,M
Hanumantha Rao 0della,20,1,1200,60,18.0,86.0,M
Inuganti Lakshmi 0raya0,35,0,800,65,10.0,88.0,M
Jandhyala Papa Rao Jandhyala,18,1,1000,50,15.0,87.0,M
Kavitrayam Poets Collective,12,0,3500,75,20.0,92.0,M
Lakshmi0rasu Kavi Sammelan,28,1,1800,55,18.0,89.0,M
Mahidhara Ramadasu,15,1,2200,50,12.0,88.0,M
Nori Satya0raya0 Murthy,22,1,1200,60,15.0,87.0,M
Okalabhavi Ramabrahmam,18,0,1500,65,10.0,86.0,M
Pattipati Rama Murthy Pattipati,35,1,900,70,12.0,88.0,M
Qadir Basha Qadir,20,1,2800,55,18.0,89.0,M
Rajendra Prasad Literary Trust,12,2,1000,60,20.0,90.0,M
Satagopachari Literary Group,25,1,1400,55,15.0,87.0,M
Tirumala Ramachandra Trust,15,0,2000,70,12.0,88.0,M
Uppala Satya0raya0 Trust,18,1,1800,55,18.0,87.0,M
Vaddadi Subbarao Literary,22,1,1200,60,12.0,86.0,M
Yeleswarapu Cultural Association,28,0,1500,65,10.0,88.0,M
Zai0b Bibi Literary Circle,20,1,2200,50,15.0,89.0,F
